"Plot Title: #6 Mesocosm"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10344489, SEN S/N: 10344489, LBL: C)","Coupler Detached (LGR S/N: 10344489)","Coupler Attached (LGR S/N: 10344489)","Host Connected (LGR S/N: 10344489)","Stopped (LGR S/N: 10344489)","End Of File (LGR S/N: 10344489)"
418,07/13/19 11:15:00  PM,30.748,,,,,
419,07/13/19 11:30:00  PM,30.722,,,,,
420,07/13/19 11:45:00  PM,30.722,,,,,
421,07/14/19 12:00:00  AM,30.722,,,,,
422,07/14/19 12:15:00  AM,30.722,,,,,
423,07/14/19 12:30:00  AM,30.722,,,,,
424,07/14/19 12:45:00  AM,30.697,,,,,
425,07/14/19 01:00:00  AM,30.646,,,,,
426,07/14/19 01:15:00  AM,30.621,,,,,
427,07/14/19 01:30:00  AM,30.596,,,,,
428,07/14/19 01:45:00  AM,30.571,,,,,
429,07/14/19 02:00:00  AM,30.571,,,,,
430,07/14/19 02:15:00  AM,30.545,,,,,
431,07/14/19 02:30:00  AM,30.495,,,,,
432,07/14/19 02:45:00  AM,30.469,,,,,
433,07/14/19 03:00:00  AM,30.444,,,,,
434,07/14/19 03:15:00  AM,30.444,,,,,
435,07/14/19 03:30:00  AM,30.419,,,,,
436,07/14/19 03:45:00  AM,30.394,,,,,
437,07/14/19 04:00:00  AM,30.394,,,,,
438,07/14/19 04:15:00  AM,30.369,,,,,
439,07/14/19 04:30:00  AM,30.343,,,,,
440,07/14/19 04:45:00  AM,30.318,,,,,
441,07/14/19 05:00:00  AM,30.318,,,,,
442,07/14/19 05:15:00  AM,30.318,,,,,
443,07/14/19 05:30:00  AM,30.318,,,,,
444,07/14/19 05:45:00  AM,30.293,,,,,
445,07/14/19 06:00:00  AM,30.293,,,,,
446,07/14/19 06:15:00  AM,30.268,,,,,
447,07/14/19 06:30:00  AM,30.268,,,,,
448,07/14/19 06:45:00  AM,30.243,,,,,
449,07/14/19 07:00:00  AM,30.217,,,,,
450,07/14/19 07:15:00  AM,30.217,,,,,
451,07/14/19 07:30:00  AM,30.268,,,,,
452,07/14/19 07:45:00  AM,30.268,,,,,
453,07/14/19 08:00:00  AM,30.318,,,,,
454,07/14/19 08:15:00  AM,30.343,,,,,
455,07/14/19 08:30:00  AM,30.419,,,,,
456,07/14/19 08:45:00  AM,30.495,,,,,
457,07/14/19 09:00:00  AM,30.672,,,,,
458,07/14/19 09:15:00  AM,30.874,,,,,
459,07/14/19 09:30:00  AM,31.052,,,,,
460,07/14/19 09:45:00  AM,31.128,,,,,
461,07/14/19 10:00:00  AM,31.255,,,,,
462,07/14/19 10:15:00  AM,31.408,,,,,
463,07/14/19 10:30:00  AM,31.331,,,,,
464,07/14/19 10:45:00  AM,31.230,,,,,
465,07/14/19 11:00:00  AM,31.153,,,,,
466,07/14/19 11:15:00  AM,31.103,,,,,
467,07/14/19 11:30:00  AM,31.052,,,,,
468,07/14/19 11:45:00  AM,31.026,,,,,
469,07/14/19 12:00:00  PM,31.001,,,,,
470,07/14/19 12:15:00  PM,30.976,,,,,
471,07/14/19 12:30:00  PM,31.001,,,,,
472,07/14/19 12:45:00  PM,31.001,,,,,
473,07/14/19 01:00:00  PM,30.976,,,,,
474,07/14/19 01:15:00  PM,31.026,,,,,
475,07/14/19 01:30:00  PM,31.052,,,,,
476,07/14/19 01:45:00  PM,31.077,,,,,
477,07/14/19 02:00:00  PM,31.077,,,,,
478,07/14/19 02:15:00  PM,31.103,,,,,
479,07/14/19 02:30:00  PM,31.077,,,,,
480,07/14/19 02:45:00  PM,31.026,,,,,
481,07/14/19 03:00:00  PM,31.026,,,,,
482,07/14/19 03:15:00  PM,30.976,,,,,
483,07/14/19 03:30:00  PM,30.950,,,,,
484,07/14/19 03:45:00  PM,30.925,,,,,
485,07/14/19 04:00:00  PM,30.874,,,,,
486,07/14/19 04:15:00  PM,30.798,,,,,
487,07/14/19 04:30:00  PM,30.748,,,,,
488,07/14/19 04:45:00  PM,30.697,,,,,
489,07/14/19 05:00:00  PM,30.621,,,,,
490,07/14/19 05:15:00  PM,30.545,,,,,
491,07/14/19 05:30:00  PM,30.469,,,,,
492,07/14/19 05:45:00  PM,30.394,,,,,
493,07/14/19 06:00:00  PM,30.343,,,,,
494,07/14/19 06:15:00  PM,30.293,,,,,
495,07/14/19 06:30:00  PM,30.243,,,,,
496,07/14/19 06:45:00  PM,30.243,,,,,
497,07/14/19 07:00:00  PM,30.217,,,,,
498,07/14/19 07:15:00  PM,30.369,,,,,
499,07/14/19 07:30:00  PM,30.369,,,,,
500,07/14/19 07:45:00  PM,30.419,,,,,
