"Plot Title: #5 Mesocosm"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10579595, SEN S/N: 10579595, LBL: Celsius)","Coupler Detached (LGR S/N: 10579595)","Coupler Attached (LGR S/N: 10579595)","Host Connected (LGR S/N: 10579595)","Stopped (LGR S/N: 10579595)","End Of File (LGR S/N: 10579595)"
459,07/14/19 09:30:00  AM,28.766,,,,,
460,07/14/19 09:45:00  AM,28.866,,,,,
461,07/14/19 10:00:00  AM,28.965,,,,,
462,07/14/19 10:15:00  AM,29.065,,,,,
463,07/14/19 10:30:00  AM,28.617,,,,,
464,07/14/19 10:45:00  AM,28.245,,,,,
465,07/14/19 11:00:00  AM,28.369,,,,,
466,07/14/19 11:15:00  AM,28.518,,,,,
467,07/14/19 11:30:00  AM,28.692,,,,,
468,07/14/19 11:45:00  AM,28.866,,,,,
469,07/14/19 12:00:00  PM,28.990,,,,,
470,07/14/19 12:15:00  PM,29.140,,,,,
471,07/14/19 12:30:00  PM,29.065,,,,,
472,07/14/19 12:45:00  PM,28.717,,,,,
473,07/14/19 01:00:00  PM,28.444,,,,,
474,07/14/19 01:15:00  PM,28.468,,,,,
475,07/14/19 01:30:00  PM,28.692,,,,,
476,07/14/19 01:45:00  PM,28.841,,,,,
477,07/14/19 02:00:00  PM,29.065,,,,,
478,07/14/19 02:15:00  PM,29.190,,,,,
479,07/14/19 02:30:00  PM,28.866,,,,,
480,07/14/19 02:45:00  PM,28.543,,,,,
481,07/14/19 03:00:00  PM,28.345,,,,,
482,07/14/19 03:15:00  PM,28.493,,,,,
483,07/14/19 03:30:00  PM,28.667,,,,,
484,07/14/19 03:45:00  PM,28.841,,,,,
485,07/14/19 04:00:00  PM,28.965,,,,,
486,07/14/19 04:15:00  PM,29.090,,,,,
487,07/14/19 04:30:00  PM,28.791,,,,,
488,07/14/19 04:45:00  PM,28.394,,,,,
489,07/14/19 05:00:00  PM,28.221,,,,,
490,07/14/19 05:15:00  PM,28.345,,,,,
491,07/14/19 05:30:00  PM,28.444,,,,,
492,07/14/19 05:45:00  PM,28.543,,,,,
493,07/14/19 06:00:00  PM,28.617,,,,,
494,07/14/19 06:15:00  PM,28.692,,,,,
495,07/14/19 06:30:00  PM,28.766,,,,,
496,07/14/19 06:45:00  PM,28.866,,,,,
497,07/14/19 07:00:00  PM,28.941,,,,,
498,07/14/19 07:15:00  PM,28.791,,,,,
499,07/14/19 07:30:00  PM,28.221,,,,,
500,07/14/19 07:45:00  PM,27.974,,,,,
501,07/14/19 08:00:00  PM,27.998,,,,,
502,07/14/19 08:15:00  PM,28.023,,,,,
503,07/14/19 08:30:00  PM,28.023,,,,,
504,07/14/19 08:45:00  PM,28.048,,,,,
505,07/14/19 09:00:00  PM,28.048,,,,,
